site_id,date,NDVI
WL-DAR-03,2025-09,0.8048
WL-DAR-03,2025-10,0.81
WL-DAR-03,2025-11,0.8664
WL-DAR-03,2025-12,0.8796
WL-DAR-03,2026-01,0.8729
WL-DAR-03,2026-02,0.8702
WL-DAR-03,2026-03,0.8767
WL-DAR-03,2026-04,0.8809
WL-DAR-03,2026-05,0.8858
WL-DAR-03,2026-06,0.8788
WL-DAR-03,2026-07,0.8351
WL-DAR-04,2023-01,0.722
WL-DAR-04,2023-03,0.7536
WL-DAR-04,2023-04,0.6834
WL-DAR-04,2023-06,0.5898
WL-DAR-04,2023-07,0.464
WL-DAR-04,2023-08,0.4269
WL-DAR-04,2023-09,0.489
WL-DAR-04,2023-10,0.5617
WL-DAR-04,2023-11,0.725
WL-DAR-04,2023-12,0.7189
WL-DAR-04,2024-01,0.7589
WL-DAR-04,2024-02,0.772
WL-DAR-04,2024-03,0.6978
WL-DAR-04,2024-04,0.6465
WL-DAR-04,2024-05,0.6411
WL-DAR-04,2024-06,0.5184
WL-DAR-04,2024-07,0.3953
WL-DAR-04,2024-08,0.3601
WL-DAR-04,2024-09,0.484
WL-DAR-04,2024-10,0.5525
WL-DAR-04,2024-11,0.6114
WL-DAR-04,2024-12,0.6404
WL-DAR-04,2025-01,0.8225
WL-DAR-04,2025-03,0.7533
WL-DAR-04,2025-04,0.6545
WL-DAR-04,2025-05,0.6045
WL-DAR-04,2025-06,0.4711
WL-DAR-04,2025-07,0.4181
WL-DAR-04,2025-08,0.4293
WL-DAR-04,2025-09,0.5643
WL-DAR-04,2025-10,0.5908
WL-DAR-04,2025-11,0.6282
WL-DAR-04,2025-12,0.692
WL-DAR-04,2026-01,0.7471
WL-DAR-04,2026-02,0.7414
WL-DAR-04,2026-03,0.7417
WL-DAR-04,2026-04,0.6713
WL-DAR-04,2026-05,0.6527
WL-DAR-04,2026-06,0.5785
WL-DAR-04,2026-07,0.4683
WL-DAR-05,2023-01,0.8513
WL-DAR-05,2023-03,0.854
WL-DAR-05,2023-04,0.8511
WL-DAR-05,2023-06,0.8462
WL-DAR-05,2023-07,0.8002
WL-DAR-05,2023-08,0.758
WL-DAR-05,2023-09,0.7428
WL-DAR-05,2023-10,0.7509
WL-DAR-05,2023-11,0.8093
WL-DAR-05,2023-12,0.813
WL-DAR-05,2024-01,0.8466
WL-DAR-05,2024-02,0.8715
WL-DAR-05,2024-03,0.8563
WL-DAR-05,2024-04,0.8294
WL-DAR-05,2024-05,0.8441
WL-DAR-05,2024-06,0.8362
WL-DAR-05,2024-07,0.7909
WL-DAR-05,2024-08,0.7365
WL-DAR-05,2024-09,0.7016
WL-DAR-05,2024-10,0.763
WL-DAR-05,2024-11,0.7989
WL-DAR-05,2024-12,0.8187
WL-DAR-05,2025-01,0.8685
WL-DAR-05,2025-03,0.8626
WL-DAR-05,2025-04,0.8726
WL-DAR-05,2025-05,0.8706
WL-DAR-05,2025-06,0.8542
WL-DAR-05,2025-07,0.8278
WL-DAR-05,2025-08,0.7803
WL-DAR-05,2025-09,0.77
WL-DAR-05,2025-10,0.7786
WL-DAR-05,2025-11,0.8415
WL-DAR-05,2025-12,0.8625
WL-DAR-05,2026-01,0.8604
WL-DAR-05,2026-02,0.8574
WL-DAR-05,2026-03,0.8704
WL-DAR-05,2026-04,0.8781
WL-DAR-05,2026-05,0.8815
WL-DAR-05,2026-06,0.8721
WL-DAR-05,2026-07,0.81
WL-DAR-06,2023-01,0.8302
WL-DAR-06,2023-03,0.8241
WL-DAR-06,2023-04,0.8159
WL-DAR-06,2023-06,0.7831
WL-DAR-06,2023-07,0.7496
WL-DAR-06,2023-08,0.7281
WL-DAR-06,2023-09,0.6786
WL-DAR-06,2023-10,0.7269
WL-DAR-06,2023-11,0.8137
